Mes,Año,Empresa,Tarifa,Abonados,Ventas,"Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG",Trimestre,Sistema,Trimestral
"Febrero   ",2023,COOPEALFARORUIZ,Residencial,6202,1467323,118846240,119615577,81,81.52,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,COOPEGUANACASTE,Residencial,74427,26465760.12,2278689148,2221432002,86.1,83.94,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,COOPELESCA,Residencial,96969,15074385.89,1258380018,1267433842,83.48,84.08,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,COOPESANTOS,Residencial,46653,6769074,609539138,611501954,90.05,90.34,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,ESPH,Residencial,81748,19831806,1558039479,1492618016,78.56,75.26,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,ICE,Residencial,761134,147864972,13487330491,13099017216,91.21,88.59,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,JASEC,Residencial,90641,20917682,1525391079,1522067854,72.92,72.76,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,"TOTAL NACIONAL",Residencial,1677602,357257625.01,30497211781,29748570921,85.36,83.27,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,CNFL,"Residencial horaria",7505,3752276,280216738,273104750,74.68,72.78,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,"TOTAL NACIONAL","Residencial horaria",7505,3752276,280216738,273104750,74.68,72.78,"I Trimestre",Distribucion,"2023 1"
"Febrero   ",2023,"Usuarios Directos","Usuarios Directos",16,38896339,1410711102,1403517279,36.27,36.08,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,CNFL,"Ventas a ICE distribución y a la CNFL",0,261044411,12691213762.33,12558873887.91,48.62,48.11,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,ICE,"Ventas a ICE distribución y a la CNFL",0,377839642.32,18224880165.5,18034916705.89,48.23,47.73,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,"TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL",0,638884053.32,30916093927.83,30593790593.8,48.39,47.89,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,COOPEALFARORUIZ,"Ventas al servicio de Distribución",0,1783689,87595424.89,86666155.84,49.11,48.59,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,COOPEGUANACASTE,"Ventas al servicio de Distribución",0,18087898,917463239.23,907942287.89,50.72,50.2,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,COOPELESCA,"Ventas al servicio de Distribución",0,16275988,652745753.94,659648191.12,40.1,40.53,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,COOPESANTOS,"Ventas al servicio de Distribución",0,2393677,162707824.1,160903621.19,67.97,67.22,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,ESPH,"Ventas al servicio de Distribución",0,28725703,1415741010.93,1401041795.02,49.28,48.77,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,JASEC,"Ventas al servicio de Distribución",0,47130220,2257401298.84,2233967398.85,47.9,47.4,"I Trimestre",Generacion,"2023 1"
"Febrero   ",2023,"TOTAL NACIONAL","Ventas al servicio de Distribución",0,114397175,5493654551.93,5450169449.91,48.02,47.64,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,CNFL,"Alumbrado Público",0,5623604.93,320578496.62,320578496.62,57.01,57.01,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEALFARORUIZ,"Alumbrado Público",0,33299.84,1701621.5,1701621.5,51.1,51.1,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEGUANACASTE,"Alumbrado Público",0,766515.42,43016845.37,43016845.37,56.12,56.12,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPELESCA,"Alumbrado Público",0,833463.71,45958405.89,45958405.89,55.14,55.14,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPESANTOS,"Alumbrado Público",0,354067,20741520.35,20741520.35,58.58,58.58,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ESPH,"Alumbrado Público",0,648086.75,35437383.55,35437383.55,54.68,54.68,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ICE,"Alumbrado Público",0,12354975.6,717192831.9,717192831.9,58.05,58.05,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,JASEC,"Alumbrado Público",0,1253040.29,70011132.52,70011132.52,55.87,55.87,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL","Alumbrado Público",0,21867053.55,1254638237.69,1254638237.69,57.38,57.38,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,"Comercios y servicios",73250,83076429.37,9551674523,8578422305,114.97,103.26,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEALFARORUIZ,"Comercios y servicios",1117,366340,36208722,36442685,98.84,99.48,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEGUANACASTE,"Comercios y servicios",15733,20851793.22,1916267722,1828901437,91.9,87.71,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPELESCA,"Comercios y servicios",13834,15584224.94,1490995581,1479730385,95.67,94.95,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPESANTOS,"Comercios y servicios",3829,1820355,280777358,274614502,154.24,150.86,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ESPH,"Comercios y servicios",11317,14665791,1263278898,1150168916,86.14,78.43,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ICE,"Comercios y servicios",103123,80342568,8922404153,7886232358,111.05,98.16,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,JASEC,"Comercios y servicios",15480,13423600,894385632,908132006,66.63,67.65,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL","Comercios y servicios",237683,230131101.53,24355992589,22142644594,105.84,96.22,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,Industrial,1437,4714156,605716030,546924520,128.49,116.02,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEALFARORUIZ,Industrial,717,489284,48013181,48318608,98.13,98.75,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEGUANACASTE,Industrial,224,829554.96,91619445,86982492,110.44,104.85,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPELESCA,Industrial,1689,3991295.82,401425086,398990307,100.58,99.97,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPESANTOS,Industrial,213,337548,54920855,54599361,162.71,161.75,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ESPH,Industrial,352,3648581,287929945,260662738,78.92,71.44,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ICE,Industrial,3132,9609517,1137900983,1031128428,118.41,107.3,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,JASEC,Industrial,329,2865786.04,159984502,162884049,55.83,56.84,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL",Industrial,8093,26485722.82,2787510027,2590490503,105.25,97.81,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,"Media tensión a",244,27690286.25,2212215304,2156048905,79.89,77.86,"I Trimestre",Distribucion,"2023 1"
