idHistoricoTarifas,"Tipo Vehículo","Tipo Revisión","Fecha Rige Tarifa","Tarifa Mínima ¢","Tarifa Máxima ¢","Número Resolución","Fecha Publicación",Expediente
110,"Motocicletas (reinspección)",Reinnspección,19-08-2022,2411,2677,RE-0087-IT-2022,18-08-2022,ET-052-2022
111,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,19-08-2022,4819.5,5351,RE-0087-IT-2022,18-08-2022,ET-052-2022
112,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,19-08-2022,2219,2464,RE-0087-IT-2022,18-08-2022,ET-052-2022
85,"Vehículo peso menor 3,5 ton (inspección)",Inspección,01-01-2022,14585,14585,RE-0086-IT-2021,05-11-2021,ET-056-2021
86,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,01-01-2022,19210,19210,RE-0086-IT-2021,05-11-2021,ET-056-2021
87,"Taxis (inspección)",Inspección,01-01-2022,15735,15735,RE-0086-IT-2021,05-11-2021,ET-056-2021
88,"Buses (bus, buseta, microbús) (inspección)",Inspección,01-01-2022,19210,19210,RE-0086-IT-2021,05-11-2021,ET-056-2021
89,"Motocicletas (inspección)",Inspección,01-01-2022,9610,9610,RE-0086-IT-2021,05-11-2021,ET-056-2021
90,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,01-01-2022,19210,19210,RE-0086-IT-2021,05-11-2021,ET-056-2021
91,"Equipo especial (maq. agrícola) (inspección)",Inspección,01-01-2022,8845,8845,RE-0086-IT-2021,05-11-2021,ET-056-2021
92,"Vehículo peso menor 3,5 ton (reinspección)",Reinnspección,01-01-2022,7292.5,7292.5,RE-0086-IT-2021,05-11-2021,ET-056-2021
93,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,01-01-2022,9605,9605,RE-0086-IT-2021,05-11-2021,ET-056-2021
94,"Taxis (reinspección)",Reinnspección,01-01-2022,7867.5,7867.5,RE-0086-IT-2021,05-11-2021,ET-056-2021
95,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,01-01-2022,9605,9605,RE-0086-IT-2021,05-11-2021,ET-056-2021
96,"Motocicletas (reinspección)",Reinnspección,01-01-2022,4805,4805,RE-0086-IT-2021,05-11-2021,ET-056-2021
97,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,01-01-2022,9605,9605,RE-0086-IT-2021,05-11-2021,ET-056-2021
98,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,01-01-2022,4422.5,4422.5,RE-0086-IT-2021,05-11-2021,ET-056-2021
71,"Vehículo peso menor 3,5 ton (inspección)",Inspección,01-01-2021,14405,14405,RE-0068-IT-2020,15-12-2020,ET-065-2020
72,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,01-01-2021,18970,18970,RE-0068-IT-2020,15-12-2020,ET-065-2020
73,"Taxis (inspección)",Inspección,01-01-2021,15540,15540,RE-0068-IT-2020,15-12-2020,ET-065-2020
74,"Buses (bus, buseta, microbús) (inspección)",Inspección,01-01-2021,18970,18970,RE-0068-IT-2020,15-12-2020,ET-065-2020
75,"Motocicletas (inspección)",Inspección,01-01-2021,9490,9490,RE-0068-IT-2020,15-12-2020,ET-065-2020
76,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,01-01-2021,18970,18970,RE-0068-IT-2020,15-12-2020,ET-065-2020
77,"Equipo especial (maq. agrícola) (inspección)",Inspección,01-01-2021,8735,8735,RE-0068-IT-2020,15-12-2020,ET-065-2020
78,"Vehículo peso menor 3,5 ton (reinspección)",Reinnspección,01-01-2021,7202.5,7202.5,RE-0068-IT-2020,15-12-2020,ET-065-2020
79,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,01-01-2021,9485,9485,RE-0068-IT-2020,15-12-2020,ET-065-2020
80,"Taxis (reinspección)",Reinnspección,01-01-2021,7770,7770,RE-0068-IT-2020,15-12-2020,ET-065-2020
81,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,01-01-2021,9485,9485,RE-0068-IT-2020,15-12-2020,ET-065-2020
82,"Motocicletas (reinspección)",Reinnspección,01-01-2021,4745,4745,RE-0068-IT-2020,15-12-2020,ET-065-2020
83,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,01-01-2021,9485,9485,RE-0068-IT-2020,15-12-2020,ET-065-2020
84,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,01-01-2021,4367.5,4367.5,RE-0068-IT-2020,15-12-2020,ET-065-2020
57,"Vehículo peso menor 3,5 ton (inspección)",Inspección,01-01-2020,14095,14095,RE-0122-IT-2019,20-11-2019,ET-062-2019
58,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,01-01-2020,18560,18560,RE-0122-IT-2019,20-11-2019,ET-062-2019
59,"Taxis (inspección)",Inspección,01-01-2020,15205,15205,RE-0122-IT-2019,20-11-2019,ET-062-2019
60,"Buses (bus, buseta, microbús) (inspección)",Inspección,01-01-2020,18560,18560,RE-0122-IT-2019,20-11-2019,ET-062-2019
61,"Motocicletas (inspección)",Inspección,01-01-2020,9285,9285,RE-0122-IT-2019,20-11-2019,ET-062-2019
62,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,01-01-2020,18560,18560,RE-0122-IT-2019,20-11-2019,ET-062-2019
63,"Equipo especial (maq. agrícola) (inspección)",Inspección,01-01-2020,8545,8545,RE-0122-IT-2019,20-11-2019,ET-062-2019
64,"Vehículo peso menor 3,5 ton (reinspección)",Reinnspección,01-01-2020,7047.5,7047.5,RE-0122-IT-2019,20-11-2019,ET-062-2019
65,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,01-01-2020,9280,9280,RE-0122-IT-2019,20-11-2019,ET-062-2019
66,"Taxis (reinspección)",Reinnspección,01-01-2020,7602.5,7602.5,RE-0122-IT-2019,20-11-2019,ET-062-2019
67,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,01-01-2020,9280,9280,RE-0122-IT-2019,20-11-2019,ET-062-2019
68,"Motocicletas (reinspección)",Reinnspección,01-01-2020,4642.5,4642.5,RE-0122-IT-2019,20-11-2019,ET-062-2019
69,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,01-01-2020,9280,9280,RE-0122-IT-2019,20-11-2019,ET-062-2019
70,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,01-01-2020,4272.5,4272.5,RE-0122-IT-2019,20-11-2019,ET-062-2019
43,"Vehículo peso menor 3,5 ton (inspección)",Inspección,01-01-2019,13745,13745," RE-0166-IT-2018",16-12-2018," ET-043-2018"
44,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,01-01-2019,18100,18100," RE-0166-IT-2018",16-12-2018," ET-043-2018"
