"Mes Cód",Expediente,Resolución,"Fecha de Publicación",Mes,Año,Empresa,"Tipo Tarifa","Descripción Tarifa",Bloque,Tarifa,Pliego
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-RP,"Tarifa residencial modalidad prepago","d. Bloque mayor a 300 kWh",113.09,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CO,"COMERCIOS Y SERVICIOS","c. Bloque mayor a 3000 kWh",72.51,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CO,"COMERCIOS Y SERVICIOS","d. Bloque 0-8 kW",96704,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CO,"COMERCIOS Y SERVICIOS","e. Bloque mayor a 8 kW",12088,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CO,"COMERCIOS Y SERVICIOS","a. Consumo de Energía menor o igual a 3000 kWh",120.47,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CO,"COMERCIOS Y SERVICIOS","b. Bloque 0-3000 kWh",217530,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-RE,RESIDENCIAL,"b. Bloque 31-200 kWh",71.28,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-RE,RESIDENCIAL,"c. Bloque 201-300 kWh",109.39,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-RE,RESIDENCIAL,"a. Bloque 0-30 kWh",2138.4,"Gaceta 119, Alcance 119"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-MTb,"MEDIA TENSIÓN (T-MTb)","k. Potencia Noche (Máxima)",1575.11,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-MTb,"MEDIA TENSIÓN (T-MTb)","l. Potencia Noche (Mínimo)",1461.39,"Gaceta 237, Alcance 257"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-REH,"Residencial horaria","c. Bloque 0-500 KWh   Noche",28.3,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-REH,"Residencial horaria","g. Bloque mayor a 500 KWh   Punta",204.03,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-RE,RESIDENCIAL,"d. Bloque mayor a 300 kWh",113.09,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-REH,"Residencial horaria","a. Bloque 0-500 KWh   Punta",165.01,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-REH,"Residencial horaria","b. Bloque 0-500 KWh   Valle",67.65,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CS,PREFERENCIAL,"d. Bloque 0-8 kW",60502.64,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CS,PREFERENCIAL,"e. Bloque mayor a 8 kW",7562.83,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CS,PREFERENCIAL,"a. Consumo de Energía menor o igual a 3000 kWh",81.12,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CS,PREFERENCIAL,"b. Bloque 0-3000 kWh",140100,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-CS,PREFERENCIAL,"c. Bloque mayor a 3000 kWh",46.7,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-MT,"MEDIA TENSIÓN (T-MT)","d. Energía Valle (Mínimo)",29.5,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-MT,"MEDIA TENSIÓN (T-MT)","e. Energía Noche (Máxima)",22.12,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-MT,"MEDIA TENSIÓN (T-MT)","a. Energía Punta (Máxima)",61.45,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-MT,"MEDIA TENSIÓN (T-MT)","b. Energía Punta (Mínimo)",59.01,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-MT,"MEDIA TENSIÓN (T-MT)","c. Energía Valle (Máxima)",30.72,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-IN,INDUSTRIAL,"c. Bloque mayor a 3000 kWh",72.51,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-IN,INDUSTRIAL,"d. Bloque 0-8 kW",96704,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-IN,INDUSTRIAL,"e. Bloque mayor a 8 kW",12088,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-IN,INDUSTRIAL,"a. Consumo de Energía menor o igual a 3000 kWh",120.47,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-IN,INDUSTRIAL,"b. Bloque 0-3000 kWh",217530,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-PR,PROMOCIONAL,"d. Bloque 0-8 kW",96704,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-PR,PROMOCIONAL,"e. Bloque mayor a 8 kW",12088,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-PR,PROMOCIONAL,"c. Bloque mayor a 3000 kWh",72.51,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-PR,PROMOCIONAL,"a. Consumo de Energía menor o igual a 3000 kWh",120.47,"Gaceta 119, Alcance 119"
12,ET-071-2023,RE-0048-IE-2024,01-07-2024,"Diciembre ",2024,CNFL,T-PR,PROMOCIONAL,"b. Bloque 0-3000 kWh",217530,"Gaceta 119, Alcance 119"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-CO,"COMERCIOS Y SERVICIOS","c. Consumo de Potencia cada kW",12571.65,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-IN,INDUSTRIAL,"a. Consumo de Energía menor o igual a 3000 kWh",127.11,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-IN,INDUSTRIAL,"b. Consumo de Energía cada kWh",76.07,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-CO,"COMERCIOS Y SERVICIOS","a. Consumo de Energía menor o igual a 3000 kWh",127.11,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-CO,"COMERCIOS Y SERVICIOS","b. Consumo de Energía cada kWh",76.07,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,ICE,T-CS,PREFERENCIAL,"c. Consumo de Potencia cada kW",10685.89,"Gaceta 237, Alcance 257"
